# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
9130,7637.1235,7372.0957,-8.666634,0.026561283,0,0,1.6496593,121.41089,56.4058388403658,24.503260330339298
9131,6492.0044,7370.2476,-7.6049366,0.05452279,0,0,1.7835884,101.807236,56.600558423253595,24.503456272043152
9132,3890.3052,7371.0884,-8.253746,0.033858906,0,0,1.6506975,88.77073,57.04297377776359,24.503752959889738
9133,3607.8474,7391465,-12.063878,0.0044363495,0,0,1.8198056,88.55051,57.091010369423586,24.506846308561073
9134,7339.0,7539317,99.0,99.0,0,0,12.987837,132.55005,56.45644599212235,24.52928322586441
9135,4126825,7371.9146,-7.5044193,0.07747698,0,0,2.2992902,89.72629,57.00275399593945,24.503918944017773
9136,8257524,7385437,-10.385659,0.010020639,0,0,1.455914,151.8746,56.3003392123607,24.504959128338328
9137,2951.7114,7375.7866,-8.873711,0.02275992,0,0,1.6887392,87.31489,57.20258028441204,24.504223520189115
9138,1003.6449,7382782,-10.594484,0.009017246,0,0,1.5596578,82.38588,57.53383087831768,24.50423839651777
9139,5420.3906,7374.0405,-7.9187336,0.04315775,0,0,1.829168,103.97638,56.782783352073,24.504267954582243
4304,1763.6237,7384.1074,-9.612544341125489,0.047437828,0,0,1.5498344,6.8565173,57.40471808939991,24.504923879475104
9141,5280353,7379.6313,-8.91256,0.023026045,0,0,1.638394,98.20282,56.80659618362042,24.505146182759777
9142,7333.0,7578131,99.0,99.0,0,0,13.248713,136.6868,56.4574466037551,24.53529160882757
9143,2626.5215,7383693,-9.712251,0.014326982,0,0,1.5483783,86.64868,57.257880603455135,24.50531889478709
9144,3903.0613,7384.8936,-8.746229,0.02477959,0,0,1.7380073,88.733696,57.04080733347603,24.505891382839884
9145,7712.3687,7382424,-8.514932,0.029073685,0,0,1.5717597,123.04928,56.393038250319485,24.504817928626615
9146,2306.4773,7379.7285,-7.741512,0.051501133,0,0,1.6875695,85.47821,57.312300069286586,24.50455989648066
9147,2679.2134,7383.5327,-9.45639,0.016352609,0,0,1.7776991,86.92354,57.24892053417707,24.505316193921516
9148,327.80106,7385.8174,-8.887656,0.022840112,0,0,1.6742231,86.54464,57.64874462106613,24.504168769098698
9149,5179.12,7386644,-8.870893,0.027063133,0,0,4.2996936,97.15624,56.82381055578797,24.506238491939186
9150,5187.0693,7407.6475,-12.387384,0.0038108204,0,0,1.7548907,97.39893,56.822457360421645,24.509487920360307
9151,8389449,7389.5435,-10.180641,0.011153902,0,0,5.248553,142.06061,56.27790446710216,24.505507363075296
9152,1453205,7383061,-8.524236,0.028151006,0,0,1.7889465,83.33402,57.45739128344209,24.504592032725572
9153,3913.1128,7399.1914,-10.745166,0.008423287,0,0,1.7482672,88.701385,57.0391008550487,24.50810544123698
9154,7554.2393,7386.8677,-7.7205763,0.04501827,0,0,1.6235989,120.20927,56.419924134307784,24.505589199486334
9155,7706334,7389247,-8.655701,0.025485462,0,0,1.5597104,122.690445,56.394060375329765,24.505876930186652
4327,507.22574,7474024,-15.741639418640137,0.0023703878,0,0,1.8409775,7.5475173,57.61842710664779,24.517945559642
9157,3054.2192,7391749,-9.911823,0.012741516,0,0,1.719721,87.516426,57.185155183860374,24.506729586530394
9158,9118563,7400.5537,-10.427558,0.009824395,0,0,1.7634718,100.301025,56.153923015888545,24.50666937315189
9159,4283.8477,7393.2666,-9.476711,0.016177101,0,0,1.7107725,89.74442,56.976054956193266,24.507242193013518
9160,4702742,7393146,-8.907032,0.03468275,0,0,3.4623892,92.3043,56.90482023082176,24.507252361171254
9161,6742.37,7389044,-7.134184,0.078532256,0,0,1.5802472,112.205376,56.55797767191017,24.50628060498884
9162,2918.7246,7397876,-9.860513,0.013167875,0,0,1.5907711,86.991486,57.208198336659656,24.507629365040618
9163,386.00763,7392.1514,-7.743314,0.06909464,0,0,3.9290276,92.05722,57.63885403151455,24.505198544049122
